name,slug
アイスメモリ,ice-memory
あおぞらプレート,sky-plate
あかいいと,destiny-knot
アッキのみ,kee-berry
あついいわ,heat-rock
あつぞこブーツ,gen8/heavy-duty-boots
イアのみ,iapapa-berry
いかさまダイス,gen9/loaded-dice
いかずちプレート,zap-plate
いしずえのめん,gen9/cornerstone-mask
イトケのみ,passho-berry
いどのめん,gen9/wellspring-mask
いのちのたま,life-orb
イバンのみ,custap-berry
ウイのみ,wiki-berry
ウォーターメモリ,water-memory
ウタンのみ,payapa-berry
エレキシード,electric-seed
エレクトロメモリ,electric-memory
おうじゃのしるし,kings-rock
おおきなねっこ,big-root
オッカのみ,occa-berry
オボンのみ,sitrus-berry
オレンのみ,oran-berry
おんみつマント,gen9/covert-cloak
かいがらのすず,shell-bell
かえんだま,flame-orb
カゴのみ,chesto-berry
カシブのみ,kasib-berry
かたいいし,hard-stone
かまどのめん,gen9/hearthflame-mask
カムラのみ,salac-berry
からぶりほけん,gen8/blunder-policy
かるいし,float-stone
がんせきプレート,stone-plate
きあいのタスキ,focus-sash
きあいのハチマキ,focus-band
きせきのタネ,miracle-seed
きゅうこん,absorb-bulb
きれいなぬけがら,shed-shell
キーのみ,persim-berry
ぎんのこな,silver-powder
くちたけん,gen8/rusted-sword
くちたたて,gen8/rusted-shield
くっつきバリ,sticky-barb
クラボのみ,cheri-berry
クリアチャーム,gen9/clear-amulet
くろいてっきゅう,iron-ball
くろいヘドロ,black-sludge
くろいメガネ,black-glasses
くろおび,black-belt
グラウンドメモリ,ground-memory
グラスシード,grassy-seed
グラスメモリ,grass-memory
グランドコート,terrain-extender
こうかくレンズ,wide-lens
こうこうのしっぽ,lagging-tail
こうてつのプレート,iron-plate
こころのしずく,soul-dew
こだわりスカーフ,choice-scarf
こだわりハチマキ,choice-band
こだわりメガネ,choice-specs
こぶしのプレート,fist-plate
こわもてプレート,dread-plate
こんごうだま,adamant-orb
ゴツゴツメット,rocky-helmet
ゴーストメモリ,ghost-memory
サイキックメモリ,psychic-memory
サイコシード,psychic-seed
さらさらいわ,smooth-rock
サンのみ,lansat-berry
しずくプレート,splash-plate
しめったいわ,damp-rock
しめつけバンド,binding-band
シュカのみ,shuca-berry
しらたま,lustrous-orb
シルクのスカーフ,silk-scarf
しろいハーブ,white-herb
しんかのきせき,eviolite
しんぴのしずく,mystic-water
じしゃく,magnet
じゃくてんほけん,weakness-policy
ジャポのみ,jaboca-berry
じゅうでんち,cell-battery
スターのみ,starf-berry
スチールメモリ,steel-memory
するどいキバ,razor-fang
するどいくちばし,sharp-beak
するどいツメ,razor-claw
ズアのみ,apicot-berry
せいれいプレート,pixie-plate
せんせいのツメ,quick-claw
ソクノのみ,wacan-berry
たつじんのおび,expert-belt
たべのこし,leftovers
たまむしのプレート,insect-plate
タラプのみ,maranga-berry
タンガのみ,tanga-berry
だいこんごうだま,adamant-crystal
だいしらたま,lustrous-globe
だいちのプレート,earth-plate
だいはっきんだま,griseous-core
だっしゅつパック,gen8/eject-pack
だっしゅつボタン,eject-button
ダークメモリ,dark-memory
チイラのみ,liechi-berry
ちからのハチマキ,muscle-band
チーゴのみ,rawst-berry
つめたいいわ,icy-rock
つららのプレート,icicle-plate
でかいきんのたま,big-nugget
でんきだま,light-ball
とくせいガード,gen9/ability-shield
とけないこおり,never-melt-ice
とつげきチョッキ,assault-vest
どくどくだま,toxic-orb
どくバリ,poison-barb
ドラゴンメモリ,dragon-memory
ながねぎ,
ナゾのみ,enigma-berry
ナナシのみ,aspear-berry
ナモのみ,colbur-berry
ねばりのかぎづめ,grip-claw
ねらいのまと,ring-target
のどスプレー,gen8/throat-spray
のろいのおふだ,spell-tag
ノーマルジュエル,normal-gem
はっきんだま,griseous-orb
ハバンのみ,haban-berry
バグメモリ,bug-memory
バコウのみ,coba-berry
バンジのみ,aguav-berry
ばんのうがさ,gen8/utility-umbrella
パワフルハーブ,power-herb
パンチグローブ,gen9/punching-glove
ひかりごけ,luminous-moss
ひかりのこな,bright-powder
ひかりのねんど,light-clay
ひのたまプレート,flame-plate
ヒメリのみ,leppa-berry
ビアーのみ,kebia-berry
ビビリだま,adrenaline-orb
ピントレンズ,scope-lens
ファイアーメモリ,fire-memory
ファイトメモリ,fighting-memory
フィラのみ,figy-berry
ふうせん,air-balloon
フェアリーメモリ,fairy-memory
フォーカスレンズ,zoom-lens
ふしぎのプレート,mind-plate
フライングメモリ,flying-memory
ブーストエナジー,gen9/booster-energy
ホズのみ,chilan-berry
ぼうごパット,protective-pads
ぼうじんゴーグル,safety-goggles
ポイズンメモリ,poison-memory
まがったスプーン,twisted-spoon
マゴのみ,mago-berry
ミクルのみ,micle-berry
ミストシード,misty-seed
メタルコート,metal-coat
メトロノーム,metronome
メンタルハーブ,mental-herb
もうどくプレート,toxic-plate
もくたん,charcoal
ものしりメガネ,wise-glasses
もののけプレート,spooky-plate
ものまねハーブ,gen9/mirror-herb
モモンのみ,pecha-berry
もりのプレート,meadow-plate
ヤタピのみ,petaya-berry
ヤチェのみ,yache-berry
やわらかいすな,soft-sand
ゆきだま,snowball
ようせいのハネ,gen9/fairy-feather
ヨプのみ,chople-berry
ヨロギのみ,charti-berry
ラムのみ,lum-berry
りゅうのキバ,dragon-fang
りゅうのプレート,draco-plate
リュガのみ,ganlon-berry
リリバのみ,babiri-berry
リンドのみ,rindo-berry
ルームサービス,gen8/room-service
レッドカード,red-card
レンブのみ,rowap-berry
ロゼルのみ,roseli-berry
ロックメモリ,rock-memory
フシギバナイト,venusaurite
リザードナイトX,charizardite-x
リザードナイトY,charizardite-y
カメックスナイト,blastoisinite
スピアナイト,beedrillite
ピジョットナイト,pidgeotite
ライチュウナイトX,gen9/raichunite-x
ライチュウナイトY,gen9/raichunite-y
ピクシナイト,gen9/clefablite
フーディナイト,alakazite
ウツボットナイト,gen9/victreebelite
ヤドランナイト,slowbronite
ゲンガナイト,gengarite
ガルーラナイト,kangaskhanite
スターミナイト,gen9/starminite
カイロスナイト,pinsirite
ギャラドスナイト,gyaradosite
プテラナイト,aerodactylite
カイリュナイト,gen9/dragoninite
ミュウツナイトX,mewtwonite-x
ミュウツナイトY,mewtwonite-y
メガニウムナイト,gen9/meganiumite
オーダイルナイト,gen9/feraligite
デンリュウナイト,ampharosite
ハガネールナイト,steelixite
ハッサムナイト,scizorite
ヘラクロスナイト,heracronite
エアームドナイト,gen9/skarmorite
ヘルガナイト,houndoominite
バンギラスナイト,tyranitarite
ジュカインナイト,sceptilite
バシャーモナイト,blazikenite
ラグラージナイト,swampertite
サーナイトナイト,gardevoirite
ヤミラミナイト,sablenite
クチートナイト,mawilite
ボスゴドラナイト,aggronite
チャーレムナイト,medichamite
ライボルトナイト,manectite
サメハダナイト,sharpedonite
バクーダナイト,cameruptite
チルタリスナイト,altarianite
ジュペッタナイト,banettite
チリーンナイト,gen9/chimechite
アブソルナイト,absolite
アブソルナイトZ,absolite
オニゴーリナイト,glalitite
ボーマンダナイト,salamencite
メタグロスナイト,metagrossite
ラティアスナイト,latiasite
ラティオスナイト,latiosite
ムクホークナイト,gen9/staraptite
ミミロップナイト,lopunnite
ガブリアスナイト,garchompite
ガブリアスナイトZ,garchompite
ルカリオナイト,lucarionite
ルカリオナイトZ,gen9/lucarionite-z
ユキノオナイト,abomasite
エルレイドナイト,galladite
ユキメノコナイト,gen9/froslassite
エンブオナイト,gen9/emboarite
ドリュウズナイト,gen9/excadrite
タブンネナイト,audinite
ペンドラナイト,gen9/scolipite
ズルズキナイト,gen9/scraftinite
シビルドナイト,gen9/eelektrossite
シャンデラナイト,gen9/chandelurite
ゴルーグナイト,gen9/golurkite
ブリガロナイト,gen9/chesnaughtite
マフォクシナイト,gen9/delphoxite
ゲッコウガナイト,gen9/greninjite
カエンジシナイト,gen9/pyroarite
