dexNo,name,forme,imageId
1,フシギダネ,,1
2,フシギソウ,,2
3,フシギバナ,,3
3,メガフシギバナ,Mega,10033
3,フシギバナ(キョダイ),Gmax,10195
4,ヒトカゲ,,4
5,リザード,,5
6,リザードン,,6
6,メガリザードンX,Mega-X,10034
6,メガリザードンY,Mega-Y,10035
6,リザードン(キョダイ),Gmax,10196
7,ゼニガメ,,7
8,カメール,,8
9,カメックス,,9
9,メガカメックス,Mega,10036
9,カメックス(キョダイ),Gmax,10197
10,キャタピー,,10
11,トランセル,,11
12,バタフリー,,12
12,バタフリー(キョダイ),Gmax,10198
13,ビードル,,13
14,コクーン,,14
15,スピアー,,15
15,メガスピアー,Mega,10090
16,ポッポ,,16
17,ピジョン,,17
18,ピジョット,,18
18,メガピジョット,Mega,10073
19,コラッタ,,19
19,コラッタ(アローラ),Alola,10091
20,ラッタ,,20
20,ラッタ(アローラ),Alola,10092
21,オニスズメ,,21
22,オニドリル,,22
23,アーボ,,23
24,アーボック,,24
25,ピカチュウ,,25
25,ピカチュウ(キョダイ),Gmax,10199
26,ライチュウ,,26
26,ライチュウ(アローラ),Alola,10100
26,メガライチュウX,Mega-X,10304
26,メガライチュウY,Mega-Y,10305
27,サンド,,27
27,サンド(アローラ),Alola,10101
28,サンドパン,,28
28,サンドパン(アローラ),Alola,10102
29,ニドラン♀,,29
30,ニドリーナ,,30
31,ニドクイン,,31
32,ニドラン♂,,32
33,ニドリーノ,,33
34,ニドキング,,34
35,ピッピ,,35
36,ピクシー,,36
36,メガピクシー,Mega,10278
37,ロコン,,37
37,ロコン(アローラ),Alola,10103
38,キュウコン,,38
38,キュウコン(アローラ),Alola,10104
39,プリン,,39
40,プクリン,,40
41,ズバット,,41
42,ゴルバット,,42
43,ナゾノクサ,,43
44,クサイハナ,,44
45,ラフレシア,,45
46,パラス,,46
47,パラセクト,,47
48,コンパン,,48
49,モルフォン,,49
50,ディグダ,,50
50,ディグダ(アローラ),Alola,10105
51,ダグトリオ,,51
51,ダグトリオ(アローラ),Alola,10106
52,ニャース,,52
52,ニャース(アローラ),Alola,10107
52,ニャース(ガラル),Galar,10161
52,ニャース(キョダイ),Gmax,10200
53,ペルシアン,,53
53,ペルシアン(アローラ),Alola,10108
54,コダック,,54
55,ゴルダック,,55
56,マンキー,,56
57,オコリザル,,57
58,ガーディ,,58
58,ガーディ(ヒスイ),Hisui,10229
59,ウインディ,,59
59,ウインディ(ヒスイ),Hisui,10230
60,ニョロモ,,60
61,ニョロゾ,,61
62,ニョロボン,,62
63,ケーシィ,,63
64,ユンゲラー,,64
65,フーディン,,65
65,メガフーディン,Mega,10037
66,ワンリキー,,66
67,ゴーリキー,,67
68,カイリキー,,68
68,カイリキー(キョダイ),Gmax,10201
69,マダツボミ,,69
70,ウツドン,,70
71,ウツボット,,71
71,メガウツボット,Mega,10279
72,メノクラゲ,,72
73,ドククラゲ,,73
74,イシツブテ,,74
74,イシツブテ(アローラ),Alola,10109
75,ゴローン,,75
75,ゴローン(アローラ),Alola,10110
76,ゴローニャ,,76
76,ゴローニャ(アローラ),Alola,10111
77,ポニータ,,77
77,ポニータ(ガラル),Galar,10162
78,ギャロップ,,78
78,ギャロップ(ガラル),Galar,10163
79,ヤドン,,79
79,ヤドン(ガラル),Galar,10164
80,ヤドラン,,80
80,メガヤドラン,Mega,10071
80,ヤドラン(ガラル),Galar,10165
81,コイル,,81
82,レアコイル,,82
83,カモネギ,,83
83,カモネギ(ガラル),Galar,10166
84,ドードー,,84
85,ドードリオ,,85
86,パウワウ,,86
87,ジュゴン,,87
88,ベトベター,,88
88,ベトベター(アローラ),Alola,10112
89,ベトベトン,,89
89,ベトベトン(アローラ),Alola,10113
90,シェルダー,,90
91,パルシェン,,91
92,ゴース,,92
93,ゴースト,,93
94,ゲンガー,,94
94,メガゲンガー,Mega,10038
94,ゲンガー(キョダイ),Gmax,10202
95,イワーク,,95
96,スリープ,,96
97,スリーパー,,97
98,クラブ,,98
99,キングラー,,99
99,キングラー(キョダイ),Gmax,10203
100,ビリリダマ,,100
100,ビリリダマ(ヒスイ),Hisui,10231
101,マルマイン,,101
101,マルマイン(ヒスイ),Hisui,10232
102,タマタマ,,102
103,ナッシー,,103
103,ナッシー(アローラ),Alola,10114
104,カラカラ,,104
105,ガラガラ,,105
105,ガラガラ(アローラ),Alola,10115
106,サワムラー,,106
107,エビワラー,,107
108,ベロリンガ,,108
109,ドガース,,109
110,マタドガス,,110
110,マタドガス(ガラル),Galar,10167
111,サイホーン,,111
112,サイドン,,112
113,ラッキー,,113
114,モンジャラ,,114
115,ガルーラ,,115
115,メガガルーラ,Mega,10039
116,タッツー,,116
117,シードラ,,117
118,トサキント,,118
119,アズマオウ,,119
120,ヒトデマン,,120
121,スターミー,,121
121,メガスターミー,Mega,10280
122,バリヤード,,122
122,バリヤード(ガラル),Galar,10168
123,ストライク,,123
124,ルージュラ,,124
125,エレブー,,125
126,ブーバー,,126
127,カイロス,,127
127,メガカイロス,Mega,10040
128,ケンタロス,,128
128,ケンタロス(パルデア闘),Paldea-Combat,10250
128,ケンタロス(パルデア炎),Paldea-Blaze,10251
128,ケンタロス(パルデア水),Paldea-Aqua,10252
129,コイキング,,129
130,ギャラドス,,130
130,メガギャラドス,Mega,10041
131,ラプラス,,131
131,ラプラス(キョダイ),Gmax,10204
132,メタモン,,132
133,イーブイ,,133
133,イーブイ(キョダイ),Gmax,10205
134,シャワーズ,,134
135,サンダース,,135
136,ブースター,,136
137,ポリゴン,,137
138,オムナイト,,138
139,オムスター,,139
140,カブト,,140
141,カブトプス,,141
142,プテラ,,142
142,メガプテラ,Mega,10042
143,カビゴン,,143
143,カビゴン(キョダイ),Gmax,10206
144,フリーザー,,144
144,フリーザー(ガラル),Galar,10169
145,サンダー,,145
145,サンダー(ガラル),Galar,10170
146,ファイヤー,,146
146,ファイヤー(ガラル),Galar,10171
147,ミニリュウ,,147
148,ハクリュー,,148
149,カイリュー,,149
149,メガカイリュー,Mega,10281
150,ミュウツー,,150
150,メガミュウツーX,Mega-X,10043
150,メガミュウツーY,Mega-Y,10044
151,ミュウ,,151
152,チコリータ,,152
153,ベイリーフ,,153
154,メガニウム,,154
154,メガメガニウム,Mega,10282
155,ヒノアラシ,,155
156,マグマラシ,,156
157,バクフーン,,157
157,バクフーン(ヒスイ),Hisui,10233
158,ワニノコ,,158
159,アリゲイツ,,159
160,オーダイル,,160
160,メガオーダイル,Mega,10283
161,オタチ,,161
162,オオタチ,,162
163,ホーホー,,163
164,ヨルノズク,,164
165,レディバ,,165
166,レディアン,,166
167,イトマル,,167
168,アリアドス,,168
169,クロバット,,169
170,チョンチー,,170
171,ランターン,,171
172,ピチュー,,172
173,ピィ,,173
174,ププリン,,174
175,トゲピー,,175
176,トゲチック,,176
177,ネイティ,,177
178,ネイティオ,,178
179,メリープ,,179
180,モココ,,180
181,デンリュウ,,181
181,メガデンリュウ,Mega,10045
182,キレイハナ,,182
183,マリル,,183
184,マリルリ,,184
185,ウソッキー,,185
186,ニョロトノ,,186
187,ハネッコ,,187
188,ポポッコ,,188
189,ワタッコ,,189
190,エイパム,,190
191,ヒマナッツ,,191
192,キマワリ,,192
193,ヤンヤンマ,,193
194,ウパー,,194
194,ウパー(パルデア),Paldea,10253
195,ヌオー,,195
196,エーフィ,,196
197,ブラッキー,,197
198,ヤミカラス,,198
199,ヤドキング,,199
199,ヤドキング(ガラル),Galar,10172
200,ムウマ,,200
201,アンノーン,,201
202,ソーナンス,,202
203,キリンリキ,,203
204,クヌギダマ,,204
205,フォレトス,,205
206,ノコッチ,,206
207,グライガー,,207
208,ハガネール,,208
208,メガハガネール,Mega,10072
209,ブルー,,209
210,グランブル,,210
211,ハリーセン,,211
